Headlines,Time,Description
Cramer: The market is saying there's no real loser in Disney and Comcast's battle for Fox assets,"11:35  AM ET Thu, 21 June 2018",Jim Cramer says the spoils would go to the loser and the winner of Disney and Comcast's brewing bidding war over key Twenty-First Century Fox assets.
"Cramer Remix: Go ahead, China—sell your U.S. Treasurys!"," 6:59  PM ET Tue, 19 June 2018","Jim Cramer says there are a lot of things that scare him about a U.S.-China trade war, but selling its position in U.S. Treasurys isn’t one of them."
Cramer's lightning round: GE's CEO was dealt 'one of the worst hands that anyone’s ever been given'," 7:03  PM ET Tue, 19 June 2018","Jim Cramer flies through his take on callers' favorite stocks, including one recently evicted from the Dow Jones industrial average."
Cramer: Tesla's stock still has more upside—just use the right chart," 6:53  PM ET Tue, 19 June 2018",Jim Cramer and technician Carolyn Boroden use stock charts to investigate the recent action in shares of high-profile automaker Tesla.
CEO of US oil and gas play Carrizo flags an unusual problem for drillers: Water," 6:53  PM ET Tue, 19 June 2018",Jim Cramer sits down with Carrizo Oil & Gas President and CEO Chip Johnson for an update on key U.S. oil markets.
Cramer points to the trillion-dollar question about US-China trade: What about Apple?," 6:53  PM ET Tue, 19 June 2018",Jim Cramer flags the one wild card in the escalating trade dispute between China and the United States.
Economy still strong despite trade war fears: Analysts," 4:56  PM ET Tue, 19 June 2018","Despite trade war fears and market declines, the economic backdrop remains strong, analysts say."
,,
Cramer Remix: Tariff headlines have investors flocking to these stocks,"11:23  AM ET Wed, 20 June 2018",Jim Cramer explains how the mainstream media is causing buyers to crowd into smaller cap domestic stocks.
Cramer's lightning round: Medical device stocks tend to win big," 6:59  PM ET Mon, 18 June 2018","Jim Cramer rattles off his take on callers' favorite stocks, including a group of securities he tends to recommend."
Cramer's warning on recent tech IPOs: Be careful with their sky-high valuations," 6:54  PM ET Mon, 18 June 2018",Jim Cramer cautions investors about a group of newly public software stocks that could be prime for a pullback.
"CEO of US marijuana company MedMen says Oregon, Colorado are 'horrible markets' to be in","12:20  PM ET Wed, 27 June 2018","Jim Cramer sits down with Adam Bierman, the co-founder and CEO of the marijuana dispensary operator whose stores have been dubbed the ""Apple stores of weed."""
Cramer floats idea for 'gloomy' ETF with Wall Street's most downtrodden stocks,"10:59  AM ET Tue, 19 June 2018",Jim Cramer proposes starting a new exchange-traded fund with the stocks that scare investors most when trade tensions run high.
"Market in 'earnings void right now,' but it will bounce back, says investor"," 4:58  PM ET Mon, 18 June 2018","Stocks fell Monday with the Dow's losing streak stretching to five days as trade tensions linger, but investor Doug MacKay says it's only temporary. "
,,
Cramer Remix: The Qualcomm-NXP deal could signal what’s next for trade," 7:01  PM ET Fri, 15 June 2018",Jim Cramer reveals how the moves in NXP Semiconductors and Qualcomm could hint at what’s to come in the U.S.-China trade battle.
Cramer: Bitcoin and PayPal are putting pressure on bank stocks," 7:03  PM ET Fri, 15 June 2018",Jim Cramer investigates why some big bank stocks are faltering even after the Federal Reserve's interest rate hike.
Cramer's lightning round: Tandem Diabetes is one of the hottest stocks I've ever seen," 7:02  PM ET Fri, 15 June 2018","Jim Cramer shares his take on callers' favorite stocks at lightning speed, including a medical technology company with a white-hot stock."
Cramer pinpoints the 'best secular trend' in the market: Subscription services," 6:55  PM ET Fri, 15 June 2018",Jim Cramer tracks how companies like Netflix and Amazon are seizing on a rapidly expanding segment of the economy.
"Cramer's game plan: With tariffs and rising rates raising uncertainty, it's time to be cautious"," 5:39  AM ET Mon, 18 June 2018",Jim Cramer admits that tariffs and interest rates have made investing harder ahead of what looks to be a positive week of earnings reports.
Dow closes lower for fourth day in a row," 6:48  PM ET Fri, 15 June 2018","The ""Closing Bell"" team discusses the market's reaction to trade tensions with China. With Bertelsen, Aviance Capital Management; CNBC's Mike Santoli; and CNBC Contributor Evan Newmark.
"
"'This is not a pretend trade war,' analyst says"," 5:35  PM ET Fri, 15 June 2018","The looming trade war has become an actual trade war, according to John Rutledge, chief investment officer of Safanad."
"Cramer Remix: If the economy slows down, this is what you’ll want to own","10:28  AM ET Fri, 15 June 2018",Jim Cramer reveals why FANG doesn’t need a strong economy to deliver powerful numbers.
Cramer's lightning round: Skechers is in the 'penalty box' until its next earnings report," 7:09  PM ET Thu, 14 June 2018","Jim Cramer zooms through his take on callers' favorite stocks, including a sneaker play that's losing steam."
CEO of country's largest RV maker says company is finding ways to 'counteract' tariff pressures," 3:30  PM ET Wed, 20 June 2018",Jim Cramer sits down with Thor Industries CEO Bob Martin as shares of his RV maker hover near year-to-date lows.
"Adobe CEO: We want to have the only 'end-to-end solution' for video, immersive media like AR"," 7:09  PM ET Thu, 14 June 2018",Jim Cramer hears from Adobe Systems Chairman and CEO Shantanu Narayen after earnings about where he sees his digital media company going.
"Cramer: No matter who wins the Fox battle, Disney and Comcast are both 'substantially undervalued'"," 7:08  PM ET Thu, 14 June 2018",Jim Cramer explains how the market is revaluing the stocks of Disney and Comcast amid a bidding war for a chunk of Twenty-First Century Fox.
CEO of RH was inspired by Warren Buffett during the home design giant's turnaround," 4:11  PM ET Thu, 14 June 2018",RH CEO Gary Friedman tells CNBC's Jim Cramer that he took a page from billionaire Warren Buffett's book during his company's turnaround.
Cramer Remix: Traditional media is on a collision course with FANG," 7:16  PM ET Wed, 13 June 2018",Jim Cramer explains what the AT&T-Time Warner ruling reveals about the broader media industry.
,,
Cramer introduces the market's newest high-quality stock group: The $100 billion club," 7:32  PM ET Wed, 13 June 2018",Jim Cramer surveys the 15 newest companies to reach $100 billion market caps and points out the best investments in the group.
Cramer's lightning round: I was wrong to sell Magellan Midstream Partners," 7:15  PM ET Wed, 13 June 2018",Jim Cramer admits he was wrong about selling a pipeline play for his charitable trust in the lightning round.
"People missed 'exactly what we told them' about RH before furniture maker's 30% jump, CEO says"," 7:19  PM ET Wed, 13 June 2018",Jim Cramer sits down with RH CEO Gary Friedman to hear about the home design company's latest lines of business.
"Cramer on Fed rate hike: 'Owning stocks just got harder,' but that's no reason to panic"," 7:18  PM ET Wed, 13 June 2018",Jim Cramer breaks down what the Federal Reserve's Wednesday interest rate hike means for investors.
Cramer Remix: Chasing this stock’s high may be worth your while," 6:59  PM ET Tue, 12 June 2018",Jim Cramer breaks down how shares of RH could continue to soar.
Cramer's lightning round: I can't get people to buy Alibaba's stock," 7:00  PM ET Tue, 12 June 2018",Jim Cramer laments investors' distaste in the e-commerce conglomerate while taking questions in the lightning round.
,,
Cramer: Edwards Lifesciences' stock chart just flashed a hugely bullish pattern," 7:00  PM ET Tue, 12 June 2018",Jim Cramer and technician Rob Moreno examine the daily stock chart of Edwards Lifesciences to find a prime buying opportunity.
"Cisco CEO says new Google Cloud partnership 'plays an enormous role' in security, policy"," 6:53  PM ET Tue, 12 June 2018",Jim Cramer gets Cisco Systems Chairman and CEO Chuck Robbins' take on his computer hardware company's latest venture with Alphabet's Google.
Cramer on AT&T-Time Warner ruling: 'I thought the government made a better case than this'," 6:53  PM ET Tue, 12 June 2018",Jim Cramer breaks down what AT&T's win in its case to buy Time Warner means for the telecommunications industry and others.
Cramer Remix: What Trump’s endgame with China could really be about," 7:04  PM ET Mon, 11 June 2018",Jim Cramer breaks down President Trump’s strategy on trade and why he has taken a hard stance with China.
Cramer tries to decode Trump's trade strategies with 5 new theories," 1:38  PM ET Tue, 12 June 2018",Jim Cramer breaks down how President Donald Trump may be approaching United States trade policy.
Cramer's lightning round: Both Discovery and Viacom could be undervalued," 7:04  PM ET Mon, 11 June 2018","Jim Cramer zips through his take on callers' favorite stocks, including two television plays."
Cramer: I was wrong about Jack Dorsey—the Twitter and Square CEO 'deserves a lot more credit',"10:27  AM ET Tue, 12 June 2018","Jim Cramer walks back his criticism of Twitter and Square chief Jack Dorsey, instead praising him for a ""job well done."""
Cramer: Eli Lilly's share price recovery symbolizes this market's attitude," 6:50  PM ET Mon, 11 June 2018",Jim Cramer connects the recent action in Eli Lilly's stock with how analysts are interpreting the market layout.
"Cramer Remix: After this stock’s monster move, wait to pounce"," 5:21  PM ET Fri, 15 June 2018",Jim Cramer’s revealing why you should take your time before adding Five Below to your portfolio.
"Cramer's lightning round: The smart money might be buying Mattel, but I can't recommend it"," 7:04  PM ET Fri,  8 June 2018","Jim Cramer zooms through his take on callers' favorite stocks, including a toymaker attracting investors."
Oath CEO Tim Armstrong: Verizon's CEO shift is a 'pure signal' that it'll lead in 5G," 7:03  PM ET Fri,  8 June 2018","Jim Cramer sits down with Tim Armstrong, the CEO of Verizon subsidiary Oath, to discuss Verizon's push towards faster mobile internet."
Cramer's game plan: Worry doesn't pay off in this market," 7:02  PM ET Fri,  8 June 2018",Jim Cramer flags key stocks and events in the week ahead after a particularly resilient week for Wall Street.
The tech sector now is reminiscent of the 1990s dotcom bubble: Wall Street's Jim Paulsen," 7:24  PM ET Mon, 11 June 2018",The Leuthold Group chief investment strategist sees similar warning signs in today's tech sector that led to the early 2000 bust.
Cramer Remix: When stock bargains are be too good to be true," 7:01  PM ET Tue, 19 Feb 2019",Jim Cramer reveals how a second- or third-tier company may not be the best bang for your buck.
,,
Cramer's investing rule for when company executives unexpectedly resign," 6:24  PM ET Tue, 19 Feb 2019","Jim Cramer says investors should sell their stock in a company when its CEO, CFO or other executives quit."
"Cramer: To be a good investor, you have to understand bonds"," 6:24  PM ET Tue, 19 Feb 2019",Jim Cramer argues that investors must understand the bond market if they want to keep up in the stock market.
Cramer: Don't be afraid to pay up for best-of-breed stocks," 6:23  PM ET Tue, 19 Feb 2019",Jim Cramer explains why investors should always seek the highest quality when buying shares in companies.
Cramer Remix: Millennials aren’t swaying the market as much as you think," 6:59  PM ET Wed,  6 June 2018","Jim Cramer breaks down why millennial buying patterns are worth noting, but not reason enough to buy a stock."
Cramer's lightning round: Auto weakness shouldn't weigh on Illinois Tool Works," 7:02  PM ET Wed,  6 June 2018","Jim Cramer shares his take on callers' favorite stocks at lightning speed, including a toolmaker under pressure."
Camping World CEO Marcus Lemonis: People misunderstood our latest acquisition," 7:15  PM ET Wed,  6 June 2018",Jim Cramer sits down with Camping World CEO Marcus Lemonis to dissect the RV maker's growth prospects and recent weakness.
,,
Qualcomm CEO on 'hostile' Broadcom bid: You have to engage with companies 'through the front door'," 1:51  PM ET Thu,  7 June 2018","Jim Cramer gets the latest on Qualcomm's bid for NXP Semiconductors, its dispute with Apple and the failed Broadcom deal from CEO Steven Mollenkopf."
Cramer: Boeing's rally is a 'terrific sign' that China fears are overblown," 7:14  PM ET Wed,  6 June 2018",Jim Cramer takes Boeing's stock strength as a sign that trade tensions with China won't weigh too heavily on the aerospace colossus.
Cramer Remix: What the bullish moves in retail signal for the American consumer," 7:04  PM ET Tue,  5 June 2018","Jim Cramer dissects the red-hot leadership in retail, and whether investors should be shopping or dropping the group."
Cramer's lightning round: 'I beg you' to hold the stock of Hasbro," 7:02  PM ET Tue,  5 June 2018","Jim Cramer rattles off his take on callers' favorite stocks, including a toymaker recovering from Toys R Us' bankruptcy."
Former SoftBank and Google exec Nikesh Arora talks taking over Palo Alto Networks with outgoing CEO," 2:31  AM ET Wed,  6 June 2018",Jim Cramer hears from Palo Alto Networks' incoming CEO Nikesh Arora and outgoing CEO Mark McLaughlin as he prepares to step down.
Cramer: Twitter's move into the S&P 500 is a metaphor for where business is headed," 7:39  PM ET Tue,  5 June 2018",Jim Cramer muses on what Twitter's entry into the S&P 500 index means for the future of the stock market.
Cramer issues a warning to the bulls: Too many groups are lagging behind the market leaders," 7:38  PM ET Tue,  5 June 2018",Jim Cramer tells investors to curb their expectations until weaker market sectors join the rally.
Cramer Remix: What critics were missing about Apple’s business," 7:03  PM ET Mon,  4 June 2018",Jim Cramer reveals the juicy detail about Apple’s business model that most critics didn’t take into account.
Cramer reflects on Italy panic: 'A little context could've gone a long way'," 7:15  PM ET Mon,  4 June 2018",Jim Cramer wishes investors would've approached last week's market turmoil in Italy differently.
Cramer's lightning round: I don't like Monster Beverage anymore," 7:06  PM ET Mon,  4 June 2018","Jim Cramer flies through his take on callers' favorite stocks, including a beverage maker he can no longer recommend."
"Cramer's charts of Chipotle, Del Taco and El Pollo Loco track the fast-casual dining comeback"," 7:14  PM ET Mon,  4 June 2018","Jim Cramer takes to the charts with technician Bob Lang to weigh the risk-reward in the stocks of Chipotle, Del Taco and El Pollo Loco."
Cramer: It's not just FANG—here are the other tech stocks that pushed the Nasdaq to new highs," 7:14  PM ET Mon,  4 June 2018",Jim Cramer creates a new acronym to explain how the Nasdaq hit a fresh all-time high on Monday.
Cramer Remix: This weak jobs number doesn’t represent the strength of the economy," 7:01  PM ET Fri,  1 June 2018",Jim Cramer reveals why a lower health care employment number shouldn’t have investors worried.
Cramer's lightning round: I think GE's shares are bottoming," 7:08  PM ET Fri,  1 June 2018","Jim Cramer fires off his take on callers' favorite stocks, including a high-profile industrial undergoing a turnaround."
,,
Cramer offers 'cloud prince' Coupa Software as an attractive apolitical investment," 7:44  PM ET Fri,  1 June 2018",Jim Cramer zooms in on cloud provider Coupa Software in his search for strong secular stocks.
Cramer: This jobs report shows we have the 'perfect economy' for stocks," 7:44  PM ET Fri,  1 June 2018","Jim Cramer applauds Friday's employment report, in which nonfarm payrolls increased by 223,000 in May."
Cramer's game plan: Take on more risk as the jobs boom boosts stocks," 7:44  PM ET Fri,  1 June 2018",Jim Cramer reviews the stocks and events he's watching in the week ahead after a strong U.S. jobs report.
"Cramer: We blew it on 3M, but it’s too late to sell"," 7:14  PM ET Thu, 31 May 2018","If last quarter was a temporary blip, 3M's rebound could be terrific when the industrial company gets its act together, says “Mad Money” host Jim Cramer."
"Cramer: Steel producer Nucor the biggest winner on Trump tariffs, a ‘gift’ to investors"," 7:14  PM ET Thu, 31 May 2018","US steelmaker Nucor is the biggest single beneficiary of President Donald Trump's tariffs, says ""Mad Money"" host Jim Cramer."
"The US is the hottest market for trading, analyst says"," 1:21  AM ET Thu, 31 May 2018",Bessemer Trust's Rebecca Patterson says the U.S. is the best market for investing. 
,,
PVH CEO on China tariff threats: ‘Cooler heads will prevail’," 7:05  PM ET Wed, 30 May 2018","""Mad Money"" host Jim Cramer sits down with PVH CEO Manny Chirico to talk tariffs, China and the company's earnings results."
Cramer: 5 reasons the stock market rebounded," 7:03  PM ET Wed, 30 May 2018","The stock market rebound on Wednesday was yet another example of panic being replaced by rationality, says ""Mad Money"" host Jim Cramer."
"Bitcoin is the market's new fear gauge, investor says"," 9:28  PM ET Tue, 29 May 2018","Bitcoin may be the market's new fear gauge, according to Brian Stutland of Equity Armor Investments."
Fed slow to raise interest rates amid political turmoil: Art Cashin," 7:02  PM ET Tue, 29 May 2018","The Fed will likely be slow to raise interest rates amid political turmoil, says veteran trader Art Cashin. "
Cramer's charts show there could be more pain ahead for oil," 2:09  PM ET Wed, 30 May 2018",CNBC's Jim Cramer and technician Carley Garner took to the charts to investigate the likelihood of a further drop or a possible rally in oil.
Cramer: Market panic will turn out to be buying opportunity," 7:23  PM ET Tue, 29 May 2018",Jim Cramer says sometimes uncertainties can lead to good outcomes.
Salesforce CEO Marc Benioff: The economy is really ripping," 7:34  PM ET Tue, 29 May 2018","Jim Cramer sits down with Salesforce founder, Chairman and CEO Marc Benioff to discuss the company's earnings results."
Stock market plunge is a buying opportunity: Analysts," 3:48  PM ET Tue, 29 May 2018","Today's market declines are a buying opportunity, say analysts. "
Cramer Remix: Don’t let the earnings bonanza confuse you," 7:00  PM ET Fri, 12 July 2019",Jim Cramer breaks down his game plan for next week.
Cramer Remix: Don’t let this buying opportunity pass again," 7:01  PM ET Thu, 24 May 2018",Jim Cramer reveals why FMC Corp.’s recent dip is a prime time to buy the stock.
"Cramer: Inflation is a real worry, but it's 'far from permanent'"," 7:24  PM ET Thu, 24 May 2018",Jim Cramer pushes back on concerns about inflation by listing the economic factors keeping it at bay.
Cramer's lightning round: I was wrong about Roku—it's a good company," 7:05  PM ET Thu, 24 May 2018","Jim Cramer shares his rapid-fire take on callers' favorite stocks, including a streaming company he thought would be more threatened by Amazon."
Cramer: The Netflix-Disney comparison reminds me of a famous Babe Ruth quote," 7:23  PM ET Thu, 24 May 2018",Jim Cramer addresses Netflix's stock passing Disney's in market cap and puts it in context with the current investing environment.
Cramer Remix: Prepare yourself for more pain in homebuilding stocks," 7:00  PM ET Wed, 23 May 2018",Jim Cramer warns that it’s foolish to fight the bears when it comes to the homebuilders.
,,
"Cramer's lightning round: I don't have a thesis for Blue Apron, so don't buy"," 7:02  PM ET Wed, 23 May 2018","Jim Cramer flies through his take on callers' favorite stocks, including a meal-kit play that's finding its footing."
"China will someday be the largest cruise market in the world, Carnival Corp CEO says"," 7:57  PM ET Wed, 23 May 2018",Jim Cramer sits down with Carnival Corporation CEO Arnold Donald on one of his company's ships to hear about developments in the cruise industry.
Cramer's charts suggest investors buy Akamai and sell Walmart," 7:57  PM ET Wed, 23 May 2018",Jim Cramer and technician Marc Chaikin find clear buy and sell signals in the charts of Akamai Technologies and Walmart.
"Cramer credits Tiffany's staggering post-earnings rally to new CEO, strong execution"," 7:55  PM ET Wed, 23 May 2018",Jim Cramer unpacks the monster 23 percent run in shares of Tiffany after the jewelry maker's first-quarter earnings report.
"Cramer Remix: If we see another pullback, buy this sector"," 7:04  PM ET Tue, 22 May 2018",Jim Cramer reveals which oil plays could be worth eyeing.
Rent the Runway CEO: People should think about their closets like stock portfolios," 7:36  PM ET Tue, 22 May 2018",Jim Cramer hears from Rent the Runway co-founder and CEO Jennifer Hyman about how her company is revolutionizing retail.
,,
Cramer's lightning round: Accounting issues at Flex mean you should sell the stock," 7:13  PM ET Tue, 22 May 2018","Jim Cramer rattles off his take on callers' favorite stocks, including a tech manufacturer that recently reported earnings."
"'I am worried about NAFTA,' says CEO of major US railroad serving Mexico and Canada"," 7:35  PM ET Tue, 22 May 2018",Jim Cramer gets Union Pacific Chairman and CEO Lance Fritz's take on trade and the Trump administration's NAFTA talks.
"Cramer: If you want bigger gains, buy stocks that are selling off on panic","10:51  AM ET Wed, 23 May 2018",Jim Cramer uses Amazon's stock to explain why buying broken stocks can boost investors' earnings.
"Markets are failing to appreciate how much further earnings have to grow, asset manager says"," 9:58  AM ET Tue, 22 May 2018","The U.S. may be close to the peak of its earnings cycle, but earnings still have room to climb, according to asset manager NN Investment Partners"
Cramer Remix: Joint ventures in China may be a thing of the past," 1:24  PM ET Tue, 22 May 2018","Jim Cramer explains how U.S. companies may soon sell products directly in China, and it could be huge."
Cramer's lightning round: The bears are wrong about cruise ship stocks," 7:06  PM ET Mon, 21 May 2018","Jim Cramer zips through his take on callers' favorite stocks, including a cruise line operator that might be overshooting expectations."
"Zillow's move into flipping homes is like Netflix's move into originals, CEO says"," 7:16  PM ET Mon, 21 May 2018",Jim Cramer hears from Zillow Group CEO Spencer Rascoff about the company's recently announced move into flipping homes.
"Fortnite may draw younger consumers to gaming for the long term, says Take-Two CEO"," 7:12  PM ET Mon, 21 May 2018",Jim Cramer sits down with Take-Two Interactive Software Chairman and CEO Strauss Zelnick for an update on the video game space.
Cramer: This trade-led rally makes sense—just look at the retail sector," 7:11  PM ET Mon, 21 May 2018",Jim Cramer unpacks the market's response to the U.S.-China trade truce that sent the major averages higher on Monday.
CEO of cannabis company says legal weed could result in fewer opioid prescriptions in the US," 7:10  PM ET Thu, 17 May 2018",Jim Cramer sits down with Canopy Growth CEO Bruce Linton after his company applied to list its shares on the New York Stock Exchange.
Cramer fears Fed raising rates too quickly will halt a 'red hot' economy," 6:46  PM ET Thu, 17 May 2018",Jim Cramer worries the Fed could raise rates fast than expected after the release of U.S. jobless claims data on Thursday.
Cramer Remix: A lot of the negativity in the market is bogus," 7:03  PM ET Wed, 16 May 2018","Jim Cramer breaks down why stocks are taking a pause, and it’s not due to the negative stories."
Cramer's lightning round: Don't buy Apple suppliers right now," 7:03  PM ET Wed, 16 May 2018","Jim Cramer flies through his take on callers' favorite stocks, including a component maker."
"PayPal CFO sees opportunity in consumers who have mobile devices, but not bank accounts"," 7:31  PM ET Wed, 16 May 2018",Jim Cramer sits down with PayPal CFO John Rainey to discuss how his company sees a nearly two-billion-person global opportunity.
,,
PayPal CFO: Our merchants aren't interested in crypto—it's too volatile," 7:30  PM ET Wed, 16 May 2018",Jim Cramer gets PayPal CFO John Rainey's take on the cryptocurrency craze and whether his platform would ever take on the trend.
Cramer explains how Micron and Macy's stocks sparked a rally," 7:29  PM ET Wed, 16 May 2018",Jim Cramer breaks down how the unrelated stocks of Micron and Macy's managed to push the whole market higher.
Cramer Remix: The one stock that is being unjustly overlooked," 7:01  PM ET Tue, 15 May 2018",Jim Cramer details why shares in Disney have been stuck in this market.
Cramer's lightning round: Take a pass on Bristol-Myers Squibb shares for now," 7:00  PM ET Tue, 15 May 2018","Jim Cramer fires off his take on callers' favorite stocks, including a biopharmaceutical play facing a rival."
Cramer: Disney's chart just flashed the scariest pattern in the book—but the stock could still go up," 7:26  PM ET Tue, 15 May 2018",Jim Cramer and technician Tim Collins take a close look at Disney's stock chart to unpack a worrisome pattern.
Cramer calls on investors to give Home Depot the benefit of the doubt after earnings miss," 7:25  PM ET Tue, 15 May 2018",Jim Cramer defends Home Depot's earnings call despite the company's weaker than expected quarterly report.
,,
"Cramer: FANG isn't dead, just giving the market a breather"," 7:24  PM ET Tue, 15 May 2018",Jim Cramer explains the pain in the FANG cohort and why headstrong investors should stay the course.
"Solid economy may not stay that way, says financial advisor. Here's how to protect your portfolio"," 6:41  AM ET Wed, 16 May 2018","Market sell-offs are an opportunity to insulate investor portfolios with stocks ""resilient"" to a recession, says one financial advisor."
Cramer: 3 reasons why this market rally should be taken seriously," 7:45  PM ET Mon, 14 May 2018",Jim Cramer outlines three reasons why this market rally should be taken seriously. 
Cramer: Shake Shack shares are too expensive right now," 5:20  AM ET Wed, 16 May 2018",Jim Cramer says shares of the American restaurant chain Shake Shack are too expensive. 
Cramer Remix: The most beaten-down group in the entire market,"10:55  AM ET Mon, 14 May 2018",Jim Cramer dishes on the stock of Campbell Soup and its fate in the underperforming food sector.
Cramer: Forget Nvidia's slowing crypto franchise—this best-in-show stock is a buy," 7:54  PM ET Fri, 11 May 2018",Jim Cramer reiterates his bullish call on Nvidia after the chipmaking giant's earnings report.
Cramer's lightning round: Sell Priceline parent on pricing pressure," 7:02  PM ET Fri, 11 May 2018","Jim Cramer fires off his take on callers' favorite stocks, including a travel booking play that's seeing more competition."
Cramer compares Michael Kors and Molson Coors and picks the better stock," 7:54  PM ET Fri, 11 May 2018",Jim Cramer weighs Michael Kors against Molson Coors and uses the drastically different companies to teach an investing lesson.
Cramer's game plan: Strong consumer spending could drive upside surprises," 7:53  PM ET Fri, 11 May 2018",Jim Cramer looks ahead to key stocks and events he'll watch as a slew of retail companies report earnings.
Cramer Remix: The one thing that’s keeping the market from tanking," 7:02  PM ET Thu, 10 May 2018",Jim Cramer thinks lack of trust in the oil futures could hold the key to this market.
"Cramer's lightning round: Unfortunately, now is the time to own defense stocks"," 7:02  PM ET Thu, 10 May 2018",Jim Cramer zooms through his take on guests' favorite stocks in a special edition of the lightning round.
Cramer: Investors are waking up to the 'terribly inefficient' oil market," 7:29  PM ET Thu, 10 May 2018",Jim Cramer recalls the 2008 breakdown in oil prices and explains why investors' distrust of oil futures could help the crude market.
"Cramer vets biotech giants Biogen, Celgene, Gilead and Regeneron for positive prospects"," 7:28  PM ET Thu, 10 May 2018","Jim Cramer examines ""the four horsemen of biotech"" to see if their weakening stocks can regain momentum."
"Cramer: Facebook, Amazon and Apple's quarters kickstarted this market rally"," 7:27  PM ET Thu, 10 May 2018",Jim Cramer explains how earnings surprises from three tech giants gave way to a marketwide rally.
,,
Cramer Remix: Higher interest rates could create the leadership this market needs," 7:04  PM ET Wed,  9 May 2018",Jim Cramer explains how bank stock leadership could emerge from higher interest rates and why that’s good news for the market.
Cramer's lightning round: The market's wrong on Constellation Brands," 7:04  PM ET Wed,  9 May 2018","Jim Cramer shares his take on callers' favorite stocks in the lightning round, including a beer, wine and liquor maker."
Etsy CEO: We're in a different business than Amazon and other big online retailers,"11:00  AM ET Thu, 10 May 2018",Jim Cramer sits down with Etsy CEO Josh Silverman at his company's headquarters to hear about how Etsy is carving its own space in the world of e-commerce.
"Cramer defends Disney and Walmart's 'bold' investments after stocks fall on ESPN, Flipkart news"," 7:51  PM ET Wed,  9 May 2018",Jim Cramer pushes back on the market's reaction to Disney expanding its ESPN offerings and Walmart taking a majority stake in Flipkart.
Cramer: Morgan Stanley's call on Micron just saved stocks from trade fears," 9:41  AM ET Thu, 16 Jan 2020","Jim Cramer doubles down on his ""cloud thesis"" after Morgan Stanley analysts issue a positive note on semiconductor demand."
Cramer Remix: GE just got a huge break—the stock may have bottomed," 7:10  PM ET Tue,  8 May 2018",Jim Cramer thinks General Electric’s worst days could be behind it thanks to the recent increase in oil prices.
,,
Cramer's lightning round: Philip Morris could be a 'value trap' with the rise of Juul," 7:04  PM ET Tue,  8 May 2018","Jim Cramer flies through his take on callers' favorite stocks, including a cigarette maker that could be in trouble."
"Cramer: Charts flash bullish signs in shares of Caterpillar, Boeing and United Technologies"," 7:26  PM ET Tue,  8 May 2018",Jim Cramer and technician Bob Lang inspect some industrials' stock charts to see if their shares can still surge higher.
"For the first time since 2015, we're seeing organic growth: Valeant Pharma CEO"," 7:26  PM ET Tue,  8 May 2018","Jim Cramer sits down with Joseph Papa, the Chairman and CEO of Valeant Pharmaceuticals, after earnings to hear about his company's new products."
Cramer: Trump's Iran deal announcement showed just how 'stupid' this market is," 7:27  PM ET Tue,  8 May 2018",Jim Cramer explains the stock market's seemingly irrational response to the president's Iran deal announcement.
Cramer Remix: Spotify delivered on earnings—here’s why investors dropped it anyway,"11:26  AM ET Tue,  8 May 2018",Jim Cramer explains why Spotify was punished for investors’ out-of-control expectations.
"'We want to get cash out of the system' with mobile payments, Bank of America's digital chief says"," 7:21  PM ET Mon,  7 May 2018","Jim Cramer sits down with Michelle Moore, head of digital banking at Bank of America. Moore says artificial intelligence, voice and virtual payments are taking over the banking space."
"Cramer's lightning round: If you own stock in a gold company, you can take profits here"," 7:06  PM ET Mon,  7 May 2018","Jim Cramer rattles off his take on callers' favorite stocks, including a gold producer that could have limited near-term upside."
"Cramer: Wall Street got Spotify's quarter all wrong—I'd be a buyer, not a seller"," 7:21  PM ET Mon,  7 May 2018",Jim Cramer explains what went wrong with Spotify's first earnings report as a public company and why the results weren't as bad as investors thought.
"Cramer commends Estee Lauder's CEO, advises buying beauty stock despite its poor performance"," 7:20  PM ET Mon,  7 May 2018",Jim Cramer argues that Estee Lauder President and CEO Fabrizio Freda has made his cosmetics company a best-of-breed global leader.
Cramer: Warren Buffett's aversion to iPhones might've been what kept him out of Amazon and Alphabet," 7:20  PM ET Mon,  7 May 2018",Jim Cramer wonders if Warren Buffett's reluctance to use Apple iPhones was what stopped his fund from investing in Amazon and Alphabet's stocks.
Here's why Kentucky Derby owner Churchill Downs sees digital as a massive growth engine," 8:00  AM ET Sat,  5 May 2018",The company that owns the Kentucky Derby has increased by 243 percent in the last five years thanks to new ventures and digital growth. 
Cramer Remix: Why Apple is a better version of Procter & Gamble," 7:05  PM ET Fri,  4 May 2018",Jim Cramer explains why Apple could be more than just a tech play.
Cramer reviews Berkshire Hathaway's top 5 stock positions," 7:16  PM ET Fri,  4 May 2018","Jim Cramer goes over Berkshire Hathaway's top five portfolio positions as Warren Buffett's annual shareholder meeting in Omaha, Nebraska kicks off."
Cramer's lightning round: Kentucky Derby racetrack owner is a buy," 7:04  PM ET Fri,  4 May 2018","Jim Cramer fires off his take on callers' favorite stocks, including a horse-racing play that's been a consistent winner."
,,
"Bitcoin's 'been a problem for us,' says CEO of top cybersecurity firm FireEye"," 7:16  PM ET Fri,  4 May 2018","Jim Cramer hears from Kevin Mandia, the CEO of FireEye, about the risks that cryptocurrencies pose to cybersecurity."
